File name,Old/new/another name,Note:,Need to change?,Changed?
Akastor,(Aker Solutions),"Both are in all.firms, different tickers",,
Aker Solutions,(Akastor),"Both are in all.firms, different tickers",,
BW LPG,,,,
Det norske oljeselskap,(Aker BP),"Dropped, ticker inactive",,
DNB,(DnB Nor),Name change before 2014,,
DNO,,,,
Fred. Olsen Energy,(Dolphin Drilling),"Dropped, ticker inactive",,
Gjensidige Forsikring,Gjensidige,,Yes,Changed
Golden Ocean Group,,,,
Marine Harvest,(Mowi),"Dropped, ticker inactive (turned into MOWI)",Yes,Added
Norwegian Air Shuttle,Norwegian Air,,Yes,Changed
Norsk Hydro,,,,
Opera Software,,"Dropped, ticker inactive",,
Orkla,,,,
Petroleum Geo-Services,"Petroleum Geo Services, PGS",,Yes,Changed+added
Royal Caribbean Cruises,,"Dropped, ticker inactive",,
REC Silicon,(Renewable Energy Coropration),Name change before 2014,,
Schibsted,,,,
Seadrill,,,,
Storebrand,,,,
Statoil,(Equinor),"Dropped, ticker inactive",,
Subsea 7,(Ocean Technology),Name change before 2014,Ask Live,
Telenor,,,,
TGS-NOPEC Geophysical Company,TGS NOPEC,,Yes,Changed
Yara International,Yara,,Yes,Changed
AF Gruppen,AF Group,,Yes,Added
Agasti Holding,,"Dropped, ticker inactive",,
Aker,,"Remove, confuses search",Yes,Removed
AKVA Group,Akva/AKVA,Note: change articles into lowercase to avoid this problem?,Yes,Changed
Algeta,,"Dropped, ticker inactive",,
American Shipping Company,,,,
Aqualis,AqualisBraemar,"Searching for ""Aqualis"" also catches ""AqualisBraemar""",NO,Fixed
Archer,,,,
ABG Sundal Collier Holding,ABG Sundal Collier,,Yes,Changed
Atea,,,,
Austevoll Seafood,,,,
Avance Gas Holding,Avance Gas,,Yes,Changed
Avocet Mining,,"Dropped, ticker inactive",,
Bakkafrost,,Bought Scottish Salmon Company in 2019,?,
Belships,,,,
Bionor Pharma,,"Dropped, ticker inactive",,
Biotec Pharmacon,,"Dropped, ticker inactive",,
Birdstep Technology,,"Dropped, ticker inactive",,
Bonheur,,,,
Borgestad,,,,
Borregaard,,"Was a part of Orkla until 2012, registered ticker then",,
BWG Homes,,"Dropped, ticker inactive",,
BW Offshore Limited,BW Offshore,,Yes,Changed
Cermaq,,"Dropped, ticker inactive",,
Copeinca,,"Dropped, ticker inactive",,
ContextVision,,,,
Deep Sea Supply,,"Dropped, ticker inactive",,
DOF,,,,
Dolphin Group,,"Dropped, ticker inactive",,
Eitzen Chemical,,"Dropped, ticker inactive",,
Eidesvik Offshore,,,,
Ekornes,,"Dropped, ticker inactive",,
Eltek,,"Dropped, ticker inactive",,
EMAS Offshore,,"Dropped, ticker inactive",,
Electromagnetic Geoservices,EMGS,,Yes,Changed
EMS Seven Seas,,"Dropped, ticker inactive",,
Entra,,,,
